State,TrumpCOVID,GovCOVID
AK,54,77
AL,56,67
AR,57,74
AZ,48,52
CA,31,79
CO,43,75
CT,36,72
DE,38,77
FL,45,53
GA,48,66
HI,10,71
IA,48,65
ID,59,69
IL,36,75
IN,53,75
KS,56,70
KY,55,83
LA,50,67
MA,28,81
MD,33,84
ME,43,73
MI,44,74
MN,41,82
MO,53,53
MS,52,62
MT,50,75
NC,45,75
ND,60,76
NE,57,70
NH,48,75
NJ,36,77
NM,38,70
NV,42,73
NY,32,81
OH,49,85
OK,58,69
OR,39,65
PA,45,75
RI,27,76
SC,51,63
SD,58,73
TN,59,60
TX,49,70
UT,56,76
VA,43,68
VT,31,75
WA,37,74
WI,27,73
WV,55,70
WY,69,78
